Aclou (27001)
Acon (27002)
Acquigny (27003)
Aigleville (27004)
Ailly (27005)
Aizier (27006)
Alizay (27008)
Ambenay (27009)
Amécourt (27010)
Amfreville-les-Champs (27012)
Amfreville-Saint-Amand (27011)
Amfreville-sous-les-Monts (27013)
Amfreville-sur-Iton (27014)
Andé (27015)
Angerville-la-Campagne (27017)
Appeville-Annebault (27018)
Armentières-sur-Avre (27019)
Arnières-sur-Iton (27020)
Asnières (27021)
Aulnay-sur-Iton (27023)
Autheuil-Authouillet (27025)
Authevernes (27026)
Authou (27028)
Aviron (27031)
Bacquepuis (27033)
Bacqueville (27034)
Bailleul-la-Vallée (27035)
Bâlines (27036)
Barc (27037)
Barneville-sur-Seine (27039)
Barquet (27040)
Barville (27042)
Bazincourt-sur-Epte (27045)
Bazoques (27046)
Beaubray (27047)
Beauficel-en-Lyons (27048)
Beaumont-le-Roger (27051)
Beaumontel (27050)
Bémécourt (27054)
Bérengeville-la-Campagne (27055)
Bernay (27056)
Bernienville (27057)
Bernouville (27059)
Berthouville (27061)
Berville-la-Campagne (27063)
Berville-sur-Mer (27064)
Beuzeville (27065)
Bézu-la-Forêt (27066)
Bézu-Saint-Éloi (27067)
Bois-Anzeray (27068)
Bois-Arnault (27069)
Bois-Jérôme-Saint-Ouen (27072)
Bois-le-Roi (27073)
Bois-Normand-près-Lyre (27075)
Boisney (27074)
Boisset-les-Prévanches (27076)
Boissey-le-Châtel (27077)
Boissy-Lamberville (27079)
Boncourt (27081)
Bonneville-Aptot (27083)
Bosgouet (27091)
Bosquentin (27094)
Bosrobert (27095)
Bosroumois (27090)
Bouafles (27097)
Bouchevilliers (27098)
Boulleville (27100)
Bouquelon (27101)
Bouquetot (27102)
Bourg-Achard (27103)
Bourg-Beaudouin (27104)
Bournainville-Faverolles (27106)
Bourneville-Sainte-Croix (27107)
Bourth (27108)
Bray (27109)
Brestot (27110)
Bretagnolles (27111)
Breteuil (27112)
Brétigny (27113)
Breuilpont (27114)
Breux-sur-Avre (27115)
Brionne (27116)
Broglie (27117)
Brosville (27118)
Bueil (27119)
Burey (27120)
Caillouet-Orgeville (27123)
Cailly-sur-Eure (27124)
Calleville (27125)
