Agneaux (50002)
Agon-Coutainville (50003)
Airel (50004)
Amigny (50006)
Anctoville-sur-Boscq (50008)
Anneville-en-Saire (50013)
Appeville (50016)
Aucey-la-Plaine (50019)
Audouville-la-Hubert (50021)
Aumeville-Lestre (50022)
Auvers (50023)
Auxais (50024)
Avranches (50025)
Azeville (50026)
Bacilly (50027)
Barenton (50029)
Barfleur (50030)
Barneville-Carteret (50031)
Baubigny (50033)
Baudre (50034)
Baupte (50036)
Beauchamps (50038)
Beaucoudray (50039)
Beauficel (50040)
Beauvoir (50042)
Belval (50044)
Benoîtville (50045)
Bérigny (50046)
Beslon (50048)
Besneville (50049)
Beuvrigny (50050)
Beuzeville-la-Bastille (50052)
Biéville (50054)
Biniville (50055)
Blainville-sur-Mer (50058)
Blosville (50059)
Boisyvon (50062)
Bourguenolles (50069)
Bourgvallées (50546)
Boutteville (50070)
Brainville (50072)
Brécey (50074)
Bréhal (50076)
Bretteville (50077)
Bretteville-sur-Ay (50078)
Breuville (50079)
Bréville-sur-Mer (50081)
Bricquebec-en-Cotentin (50082)
Bricquebosq (50083)
Bricqueville-la-Blouette (50084)
Bricqueville-sur-Mer (50085)
Brillevast (50086)
Brix (50087)
Brouains (50088)
Buais-Les-Monts (50090)
Cambernon (50092)
Cametours (50093)
Camprond (50094)
Canisy (50095)
Canteloup (50096)
Canville-la-Rocque (50097)
Carantilly (50098)
Carentan-les-Marais (50099)
Carneville (50101)
Carolles (50102)
Catteville (50105)
Cavigny (50106)
Céaux (50108)
Cérences (50109)
Cerisy-la-Forêt (50110)
Cerisy-la-Salle (50111)
Champeaux (50117)
Champrepus (50118)
Chanteloup (50120)
Chaulieu (50514)
Chavoy (50126)
Cherbourg-en-Cotentin (50129)
Chérencé-le-Héron (50130)
Clitourps (50135)
Colomby (50138)
Condé-sur-Vire (50139)
Coudeville-sur-Mer (50143)
Coulouvray-Boisbenâtre (50144)
Courcy (50145)
Courtils (50146)
Coutances (50147)
Couvains (50148)
Couville (50149)
Crasville (50150)
Créances (50151)
Crollon (50155)
Crosville-sur-Douve (50156)
Cuves (50158)
Dangy (50159)
Digosville (50162)
Domjean (50164)
Donville-les-Bains (50165)
Doville (50166)
Dragey-Ronthon (50167)
Ducey-Les Chéris (50168)
Écausseville (50169)
Émondeville (50172)
Équilly (50174)
Éroudeville (50175)
Étienville (50177)
Fermanville (50178)
Feugères (50181)
Fierville-les-Mines (50183)
Flamanville (50184)
Fleury (50185)
Flottemanville (50186)
Folligny (50188)
Fontenay-sur-Mer (50190)
Fourneaux (50192)
Fresville (50194)
Gathemo (50195)
Gatteville-le-Phare (50196)
Gavray-sur-Sienne (50197)
Geffosses (50198)
Genêts (50199)
Ger (50200)
Golleville (50207)
Gonfreville (50208)
Gonneville-Le Theil (50209)
Gorges (50210)
Gouvets (50214)
Gouville-sur-Mer (50215)
Graignes-Mesnil-Angot (50216)
Grandparigny (50391)
Granville (50218)
Gratot (50219)
Grimesnil (50221)
Grosville (50222)
Hambye (50228)
Hamelin (50229)
Hardinvast (50230)
Hauteville-la-Guichard (50232)
Hauteville-sur-Mer (50231)
Hautteville-Bocage (50233)
Héauville (50238)
Helleville (50240)
Hémevez (50241)
Heugueville-sur-Sienne (50243)
Hiesville (50246)
Hocquigny (50247)
Huberville (50251)
Hudimesnil (50252)
Huisnes-sur-Mer (50253)
Isigny-le-Buat (50256)
Joganville (50258)
Juilley (50259)
Jullouville (50066)
Juvigny les Vallées (50260)
L'Étang-Bertrand (50176)
La Baleine (50028)
La Barre-de-Semilly (50032)
La Bloutière (50060)
La Bonneville (50064)
La Chaise-Baudouin (50112)
La Chapelle-Cécelin (50121)
La Chapelle-Urée (50124)
La Colombe (50137)
La Feuillie (50182)
La Godefroy (50205)
La Hague (50041)
La Haye (50236)
La Haye-Bellefond (50234)
La Haye-d'Ectot (50235)
La Haye-Pesnel (50237)
La Lande-d'Airou (50262)
La Lucerne-d'Outremer (50281)
La Luzerne (50283)
La Meauffe (50297)
La Meurdraquière (50327)
La Mouche (50361)
La Pernelle (50395)
La Trinité (50607)
La Vendelée (50624)
Lamberville (50261)
Lapenty (50263)
Laulne (50265)
Le Dézert (50161)
Le Fresne-Poret (50193)
Le Grand-Celland (50217)
Le Grippon (50115)
Le Guislain (50225)
Le Ham (50227)
Le Loreur (50278)
Le Lorey (50279)
Le Luot (50282)
Le Mesnil (50299)
Le Mesnil-Adelée (50300)
Le Mesnil-Amey (50302)
Le Mesnil-au-Val (50305)
Le Mesnil-Aubert (50304)
Le Mesnil-Eury (50310)
Le Mesnil-Garnier (50311)
Le Mesnil-Gilbert (50312)
Le Mesnil-Ozenne (50317)
Le Mesnil-Rouxelin (50321)
Le Mesnil-Véneron (50324)
